Time Period,Reading,m,Data,SMA_Mt,SMA_forecast_y(t-1),SMA_Forecast_error,SMA_Squared_error,SMA_Relative_persen_error,SMA_Absolute_persen_error,SMA_SSE,SMA_MSE,SMA_MAPE,HF_Mt,HF_forecast_y(t-1),HF_Forecast_error,HF_Squared_error,HF_Relative_persen_error,HF_Absolute_persen_error,HF_SSE,HF_MSE,HF_MAPE
1,86.7418,13,99.7418,,,,,,,148.5270105,1.531206293,0.98%,,,,,,,66.89261604,0.682577715,0.66%
2,85.3195,13,98.3195,,,,,,,,,,98.529075,,,,,,,,
3,84.7355,13,97.7355,98.59893333,,,,,,,,,97.97545,98.529075,0.793575,0.629761281,0.81%,0.81%,,,
4,85.1113,13,98.1113,98.05543333,98.59893333,-0.487633333,0.237786268,-0.50%,0.50%,,,,98.0267,97.97545,-0.13585,0.018455223,-0.14%,0.14%,,,
5,85.1487,13,98.1487,97.9985,98.05543333,0.093266667,0.008698671,0.10%,0.10%,,,,97.97155,98.0267,-0.122,0.014884,-0.12%,0.12%,,,
6,84.4775,13,97.4775,97.9125,97.9985,-0.521,0.271441,-0.53%,0.53%,,,,97.6966,97.97155,0.49405,0.244085403,0.51%,0.51%,,,
7,84.6827,13,97.6827,97.76963333,97.9125,-0.2298,0.05280804,-0.24%,0.24%,,,,97.62965,97.6966,0.0139,0.00019321,0.01%,0.01%,,,
8,84.6757,13,97.6757,97.61196667,97.76963333,-0.093933333,0.008823471,-0.10%,0.10%,,,,98.08775,97.62965,-0.04605,0.002120603,-0.05%,0.05%,,,
9,86.3169,13,99.3169,98.2251,97.61196667,1.704933333,2.906797671,1.72%,1.72%,,,,99.327525,98.08775,-1.22915,1.510809723,-1.24%,1.24%,,,
10,88.0006,13,101.0006,99.33106667,98.2251,2.7755,7.70340025,2.75%,2.75%,,,,100.14445,99.327525,-1.673075,2.799179956,-1.66%,1.66%,,,
11,86.2597,13,99.2597,99.85906667,99.33106667,-0.071366667,0.005093201,-0.07%,0.07%,,,,99.58715,100.14445,0.88475,0.782782563,0.89%,0.89%,,,
12,85.8286,13,98.8286,99.6963,99.85906667,-1.030466667,1.061861551,-1.04%,1.04%,,,,98.416725,99.58715,0.75855,0.575398102,0.77%,0.77%,,,
13,83.75,13,96.75,98.27943333,99.6963,-2.9463,8.68068369,-3.05%,3.05%,,,,97.44785,98.416725,1.666725,2.777972226,1.72%,1.72%,,,
14,84.4628,13,97.4628,97.68046667,98.27943333,-0.816633333,0.666890001,-0.84%,0.84%,,,,97.3308,97.44785,-0.01495,0.000223502,-0.02%,0.02%,,,
15,84.6476,13,97.6476,97.2868,97.68046667,-0.032866667,0.001080218,-0.03%,0.03%,,,,97.583275,97.3308,-0.3168,0.10036224,-0.32%,0.32%,,,
16,84.5751,13,97.5751,97.56183333,97.2868,0.2883,0.08311689,0.30%,0.30%,,,,97.011275,97.583275,0.008175,6.68306E-05,0.01%,0.01%,,,
17,82.2473,13,95.2473,96.82333333,97.56183333,-2.314533333,5.357064551,-2.43%,2.43%,,,,96.111775,97.011275,1.763975,3.111607801,1.85%,1.85%,,,
18,83.3774,13,96.3774,96.39993333,96.82333333,-0.445933333,0.198856538,-0.46%,0.46%,,,,96.13515,96.111775,-0.265625,0.070556641,-0.28%,0.28%,,,
19,83.5385,13,96.5385,96.0544,96.39993333,0.138566667,0.019200721,0.14%,0.14%,,,,96.9041,96.13515,-0.40335,0.162691223,-0.42%,0.42%,,,
20,85.162,13,98.162,97.02596667,96.0544,2.1076,4.44197776,2.15%,2.15%,,,,97.41265,96.9041,-1.2579,1.58231241,-1.28%,1.28%,,,
21,83.7881,13,96.7881,97.16286667,97.02596667,-0.237866667,0.056580551,-0.25%,0.25%,,,,97.195075,97.41265,0.62455,0.390062702,0.65%,0.65%,,,
22,84.0421,13,97.0421,97.33073333,97.16286667,-0.120766667,0.014584588,-0.12%,0.12%,,,,96.99365,97.195075,0.152975,0.023401351,0.16%,0.16%,,,
23,84.1023,13,97.1023,96.9775,97.33073333,-0.228433333,0.052181788,-0.24%,0.24%,,,,97.27405,96.99365,-0.10865,0.011804822,-0.11%,0.11%,,,
24,84.8495,13,97.8495,97.3313,96.9775,0.872,0.760384,0.89%,0.89%,,,,98.360725,97.27405,-0.57545,0.331142702,-0.59%,0.59%,,,
25,87.6416,13,100.6416,98.53113333,97.3313,3.3103,10.95808609,3.29%,3.29%,,,,99.8431,98.360725,-2.280875,5.202390766,-2.27%,2.27%,,,
26,87.2397,13,100.2397,99.57693333,98.53113333,1.708566667,2.919200054,1.70%,1.70%,,,,100.410725,99.8431,-0.3966,0.15729156,-0.40%,0.40%,,,
27,87.5219,13,100.5219,100.4677333,99.57693333,0.944966667,0.892962001,0.94%,0.94%,,,,100.195675,100.410725,-0.111175,0.012359881,-0.11%,0.11%,,,
28,86.4992,13,99.4992,100.0869333,100.4677333,-0.968533333,0.938056818,-0.97%,0.97%,,,,99.531325,100.195675,0.696475,0.485077426,0.70%,0.70%,,,
29,85.605,13,98.605,99.54203333,100.0869333,-1.481933333,2.196126404,-1.50%,1.50%,,,,99.134625,99.531325,0.926325,0.858078006,0.94%,0.94%,,,
30,86.8293,13,99.8293,99.31116667,99.54203333,0.287266667,0.082522138,0.29%,0.29%,,,,98.941,99.134625,-0.694675,0.482573356,-0.70%,0.70%,,,
31,84.5004,13,97.5004,98.6449,99.31116667,-1.810766667,3.278875921,-1.86%,1.86%,,,,98.003625,98.941,1.4406,2.07532836,1.48%,1.48%,,,
32,84.1844,13,97.1844,98.17136667,98.6449,-1.4605,2.13306025,-1.50%,1.50%,,,,97.581375,98.003625,0.819225,0.671129601,0.84%,0.84%,,,
33,85.4563,13,98.4563,97.7137,98.17136667,0.284933333,0.081187004,0.29%,0.29%,,,,98.312025,97.581375,-0.874925,0.765493756,-0.89%,0.89%,,,
34,86.1511,13,99.1511,98.26393333,97.7137,1.4374,2.06611876,1.45%,1.45%,,,,99.043175,98.312025,-0.839075,0.704046856,-0.85%,0.85%,,,
35,86.4142,13,99.4142,99.0072,98.26393333,1.150266667,1.323113404,1.16%,1.16%,,,,99.257325,99.043175,-0.371025,0.137659551,-0.37%,0.37%,,,
36,86.0498,13,99.0498,99.20503333,99.0072,0.0426,0.00181476,0.04%,0.04%,,,,99.2945,99.257325,0.207525,0.043066626,0.21%,0.21%,,,
37,86.6642,13,99.6642,99.37606667,99.20503333,0.459166667,0.210834028,0.46%,0.46%,,,,99.026775,99.2945,-0.3697,0.13667809,-0.37%,0.37%,,,
38,84.7289,13,97.7289,98.8143,99.37606667,-1.647166667,2.713158028,-1.69%,1.69%,,,,98.518575,99.026775,1.297875,1.684479516,1.33%,1.33%,,,
39,85.9523,13,98.9523,98.7818,98.8143,0.138,0.019044,0.14%,0.14%,,,,98.8702,98.518575,-0.433725,0.188117376,-0.44%,0.44%,,,
40,86.8473,13,99.8473,98.84283333,98.7818,1.0655,1.13529025,1.07%,1.07%,,,,100.017975,98.8702,-0.9771,0.95472441,-0.98%,0.98%,,,
41,88.425,13,101.425,100.0748667,98.84283333,2.582166667,6.667584694,2.55%,2.55%,,,,101.33635,100.017975,-1.407025,1.979719351,-1.39%,1.39%,,,
42,89.6481,13,102.6481,101.3068,100.0748667,2.573233333,6.621529788,2.51%,2.51%,,,,101.89445,101.33635,-1.31175,1.720688063,-1.28%,1.28%,,,
43,87.8566,13,100.8566,101.6432333,101.3068,-0.4502,0.20268004,-0.45%,0.45%,,,,101.46525,101.89445,1.03785,1.077132623,1.03%,1.03%,,,
44,88.4997,13,101.4997,101.6681333,101.6432333,-0.143533333,0.020601818,-0.14%,0.14%,,,,100.97955,101.46525,-0.03445,0.001186802,-0.03%,0.03%,,,
45,87.0622,13,100.0622,100.8061667,101.6681333,-1.605933333,2.579021871,-1.60%,1.60%,,,,99.95535,100.97955,0.91735,0.841531022,0.92%,0.92%,,,
46,85.1973,13,98.1973,99.91973333,100.8061667,-2.608866667,6.806185284,-2.66%,2.66%,,,,98.633375,99.95535,1.75805,3.090739802,1.79%,1.79%,,,
47,85.0767,13,98.0767,98.77873333,99.91973333,-1.843033333,3.396771868,-1.88%,1.88%,,,,97.946725,98.633375,0.556675,0.309887056,0.57%,0.57%,,,
48,84.4362,13,97.4362,97.9034,98.77873333,-1.342533333,1.802395751,-1.38%,1.38%,,,,97.540075,97.946725,0.510525,0.260635776,0.52%,0.52%,,,
49,84.2112,13,97.2112,97.5747,97.9034,-0.6922,0.47914084,-0.71%,0.71%,,,,97.71345,97.540075,0.328875,0.108158766,0.34%,0.34%,,,
50,85.9952,13,98.9952,97.88086667,97.5747,1.4205,2.01782025,1.43%,1.43%,,,,98.44345,97.71345,-1.28175,1.642883062,-1.29%,1.29%,,,
51,85.5722,13,98.5722,98.25953333,97.88086667,0.691333333,0.477941778,0.70%,0.70%,,,,98.233275,98.44345,-0.12875,0.016576562,-0.13%,0.13%,,,
52,83.7935,13,96.7935,98.1203,98.25953333,-1.466033333,2.149253734,-1.51%,1.51%,,,,97.38245,98.233275,1.439775,2.072952051,1.49%,1.49%,,,
53,84.3706,13,97.3706,97.57876667,98.1203,-0.7497,0.56205009,-0.77%,0.77%,,,,96.977725,97.38245,0.01185,0.000140423,0.01%,0.01%,,,
54,83.3762,13,96.3762,96.84676667,97.57876667,-1.202566667,1.446166588,-1.25%,1.25%,,,,97.030125,96.977725,0.601525,0.361832326,0.62%,0.62%,,,
55,84.9975,13,97.9975,97.2481,96.84676667,1.150733333,1.324187204,1.17%,1.17%,,,,97.430175,97.030125,-0.967375,0.935814391,-0.99%,0.99%,,,
56,84.3495,13,97.3495,97.24106667,97.2481,0.1014,0.01028196,0.10%,0.10%,,,,97.759,97.430175,0.080675,0.006508456,0.08%,0.08%,,,
57,85.3395,13,98.3395,97.8955,97.24106667,1.098433333,1.206555788,1.12%,1.12%,,,,98.2697,97.759,-0.5805,0.33698025,-0.59%,0.59%,,,
58,86.0503,13,99.0503,98.24643333,97.8955,1.1548,1.33356304,1.17%,1.17%,,,,98.581,98.2697,-0.7806,0.60933636,-0.79%,0.79%,,,
59,84.8839,13,97.8839,98.42456667,98.24643333,-0.362533333,0.131430418,-0.37%,0.37%,,,,98.308925,98.581,0.6971,0.48594841,0.71%,0.71%,,,
60,85.4176,13,98.4176,98.4506,98.42456667,-0.006966667,4.85344E-05,-0.01%,0.01%,,,,97.9875,98.308925,-0.108675,0.011810256,-0.11%,0.11%,,,
61,84.2309,13,97.2309,97.84413333,98.4506,-1.2197,1.48766809,-1.25%,1.25%,,,,97.363875,97.9875,0.7566,0.57244356,0.78%,0.78%,,,
62,83.5761,13,96.5761,97.4082,97.84413333,-1.268033333,1.607908534,-1.31%,1.31%,,,,96.87935,97.363875,0.787775,0.620589451,0.82%,0.82%,,,
63,84.1343,13,97.1343,96.98043333,97.4082,-0.2739,0.07502121,-0.28%,0.28%,,,,96.635525,96.87935,-0.25495,0.064999502,-0.26%,0.26%,,,
64,82.6974,13,95.6974,96.46926667,96.98043333,-1.283033333,1.646174534,-1.34%,1.34%,,,,96.268625,96.635525,0.938125,0.880078516,0.98%,0.98%,,,
65,83.5454,13,96.5454,96.45903333,96.46926667,0.076133333,0.005796284,0.08%,0.08%,,,,97.0649,96.268625,-0.276775,0.076604401,-0.29%,0.29%,,,
66,86.4714,13,99.4714,97.23806667,96.45903333,3.012366667,9.074352934,3.03%,3.03%,,,,98.675625,97.0649,-2.4065,5.79124225,-2.42%,2.42%,,,
67,86.2143,13,99.2143,98.41036667,97.23806667,1.976233333,3.905498188,1.99%,1.99%,,,,99.480375,98.675625,-0.538675,0.290170756,-0.54%,0.54%,,,
68,87.0215,13,100.0215,99.56906667,98.41036667,1.611133333,2.595750618,1.61%,1.61%,,,,99.726925,99.480375,-0.541125,0.292816266,-0.54%,0.54%,,,
69,86.6504,13,99.6504,99.62873333,99.56906667,0.081333333,0.006615111,0.08%,0.08%,,,,99.507625,99.726925,0.076525,0.005856076,0.08%,0.08%,,,
70,85.7082,13,98.7082,99.46003333,99.62873333,-0.920533333,0.847381618,-0.93%,0.93%,,,,99.0543,99.507625,0.799425,0.639080331,0.81%,0.81%,,,
71,86.1504,13,99.1504,99.16966667,99.46003333,-0.309633333,0.095872801,-0.31%,0.31%,,,,98.95305,99.0543,-0.0961,0.00923521,-0.10%,0.10%,,,
72,85.8032,13,98.8032,98.88726667,99.16966667,-0.366466667,0.134297818,-0.37%,0.37%,,,,98.844125,98.95305,0.14985,0.022455023,0.15%,0.15%,,,
73,85.6197,13,98.6197,98.85776667,98.88726667,-0.267566667,0.071591921,-0.27%,0.27%,,,,98.319125,98.844125,0.224425,0.050366581,0.23%,0.23%,,,
74,84.2339,13,97.2339,98.21893333,98.85776667,-1.623866667,2.636942951,-1.67%,1.67%,,,,97.4153,98.319125,1.085225,1.177713301,1.12%,1.12%,,,
75,83.5737,13,96.5737,97.47576667,98.21893333,-1.645233333,2.706792721,-1.70%,1.70%,,,,97.021625,97.4153,0.8416,0.70829056,0.87%,0.87%,,,
76,84.7052,13,97.7052,97.17093333,97.47576667,0.229433333,0.052639654,0.23%,0.23%,,,,97.200225,97.021625,-0.683575,0.467274781,-0.70%,0.70%,,,
77,83.8168,13,96.8168,97.0319,97.17093333,-0.354133333,0.125410418,-0.37%,0.37%,,,,96.688975,97.200225,0.383425,0.147014731,0.40%,0.40%,,,
78,82.4171,13,95.4171,96.64636667,97.0319,-1.6148,2.60757904,-1.69%,1.69%,,,,95.92325,96.688975,1.271875,1.617666016,1.33%,1.33%,,,
79,83.042,13,96.042,96.09196667,96.64636667,-0.604366667,0.365259068,-0.63%,0.63%,,,,96.0501,95.92325,-0.11875,0.014101563,-0.12%,0.12%,,,
80,83.6993,13,96.6993,96.0528,96.09196667,0.607333333,0.368853778,0.63%,0.63%,,,,96.160975,96.0501,-0.6492,0.42146064,-0.67%,0.67%,,,
81,82.2033,13,95.2033,95.98153333,96.0528,-0.8495,0.72165025,-0.89%,0.89%,,,,95.5618,96.160975,0.957675,0.917141406,1.01%,1.01%,,,
82,82.1413,13,95.1413,95.6813,95.98153333,-0.840233333,0.705992054,-0.88%,0.88%,,,,95.0705,95.5618,0.4205,0.17682025,0.44%,0.44%,,,
83,81.7961,13,94.7961,95.0469,95.6813,-0.8852,0.78357904,-0.93%,0.93%,,,,95.0144,95.0705,0.2744,0.07529536,0.29%,0.29%,,,
84,82.3241,13,95.3241,95.08716667,95.0469,0.2772,0.07683984,0.29%,0.29%,,,,94.993975,95.0144,-0.3097,0.09591409,-0.32%,0.32%,,,
85,81.5316,13,94.5316,94.88393333,95.08716667,-0.555566667,0.308654321,-0.59%,0.59%,,,,94.778825,94.993975,0.462375,0.213790641,0.49%,0.49%,,,
86,81.728,13,94.728,94.86123333,94.88393333,-0.155933333,0.024315204,-0.16%,0.16%,,,,94.881275,94.778825,0.050825,0.002583181,0.05%,0.05%,,,
87,82.5375,13,95.5375,94.93236667,94.86123333,0.676266667,0.457336604,0.71%,0.71%,,,,95.297675,94.881275,-0.656225,0.430631251,-0.69%,0.69%,,,
88,82.3877,13,95.3877,95.21773333,94.93236667,0.455333333,0.207328444,0.48%,0.48%,,,,95.4322,95.297675,-0.090025,0.008104501,-0.09%,0.09%,,,
89,82.4159,13,95.4159,95.44703333,95.21773333,0.198166667,0.039270028,0.21%,0.21%,,,,95.357425,95.4322,0.0163,0.00026569,0.02%,0.02%,,,
90,82.2102,13,95.2102,95.33793333,95.44703333,-0.236833333,0.056090028,-0.25%,0.25%,,,,95.4009,95.357425,0.147225,0.021675201,0.15%,0.15%,,,
91,82.7673,13,95.7673,95.46446667,95.33793333,0.429366667,0.184355734,0.45%,0.45%,,,,95.71705,95.4009,-0.3664,0.13424896,-0.38%,0.38%,,,
92,83.1234,13,96.1234,95.7003,95.46446667,0.658933333,0.434193138,0.69%,0.69%,,,,96.0586,95.71705,-0.40635,0.165120323,-0.42%,0.42%,,,
93,83.2203,13,96.2203,96.037,95.7003,0.52,0.2704,0.54%,0.54%,,,,96.50375,96.0586,-0.1617,0.02614689,-0.17%,0.17%,,,
94,84.451,13,97.451,96.59823333,96.037,1.414,1.999396,1.45%,1.45%,,,,97.2592,96.50375,-0.94725,0.897282562,-0.97%,0.97%,,,
95,84.9145,13,97.9145,97.19526667,96.59823333,1.316266667,1.732557938,1.34%,1.34%,,,,98.010225,97.2592,-0.6553,0.42941809,-0.67%,0.67%,,,
96,85.7609,13,98.7609,98.04213333,97.19526667,1.565633333,2.451207734,1.59%,1.59%,,,,98.416625,98.010225,-0.750675,0.563512956,-0.76%,0.76%,,,
97,85.2302,13,98.2302,98.30186667,98.04213333,0.188066667,0.035369071,0.19%,0.19%,,,,98.738125,98.416625,0.186425,0.034754281,0.19%,0.19%,,,
98,86.7312,13,99.7312,98.90743333,98.30186667,1.429333333,2.042993778,1.43%,1.43%,,,,99.42435,98.738125,-0.993075,0.986197956,-1.00%,1.00%,,,
99,87.0048,13,100.0048,99.32206667,98.90743333,1.097366667,1.204213601,1.10%,1.10%,,,,99.4495,99.42435,-0.58045,0.336922203,-0.58%,0.58%,,,
100,85.0572,13,98.0572,99.2644,99.32206667,-1.264866667,1.599887684,-1.29%,1.29%,,,,,99.4495,1.3923,1.93849929,1.42%,1.42%,,,
101,,,,,99.2644,,,,,,,,,99.4495,,,,,,,
102,,,,,99.2644,,,,,,,,,99.4495,,,,,,,
103,,,,,99.2644,,,,,,,,,99.4495,,,,,,,
104,,,,,99.2644,,,,,,,,,99.4495,,,,,,,
